scenario,algorithm,flow_id,subscriber_id,role,service_id,service_type,allowed_by_policy,controller_decision,policy_violation,path,path_length,rerouted,unreachable,generated_rules,explanation
normal_access,static_acl,normal_access_f001,u11,blocked,srv_db,database,False,deny,False,,0,False,False,0,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f002,u04,teacher,srv_internet,internet,True,allow,False,s6 -> s3 -> s1,2,False,False,2,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f003,u09,admin,srv_internet,internet,True,allow,False,s9 -> s4 -> s2 -> s1,3,False,False,3,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f004,u01,student,srv_file,file,False,allow,True,s5 -> s2 -> s8,2,False,False,2,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f005,u10,blocked,srv_lms,lms,False,deny,False,,0,False,False,0,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f006,u09,admin,srv_file,file,True,allow,False,s9 -> s4 -> s2 -> s8,3,False,False,3,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f007,u10,blocked,srv_internet,internet,False,allow,True,s5 -> s3 -> s1,2,False,False,2,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f008,u03,student,srv_lms,lms,True,allow,False,s7 -> s4 -> s2 -> s8,3,False,False,3,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f009,u04,teacher,srv_video,video,True,allow,False,s6 -> s3 -> s1 -> s8,3,False,False,3,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f010,u07,guest,srv_file,file,False,deny,False,,0,False,False,0,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f011,u01,student,srv_video,video,True,allow,False,s5 -> s2 -> s8,2,False,False,2,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f012,u07,guest,srv_file,file,False,deny,False,,0,False,False,0,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f013,u10,blocked,srv_video,video,False,deny,False,,0,False,False,0,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f014,u02,student,srv_file,file,False,allow,True,s5 -> s2 -> s8,2,False,False,2,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f015,u02,student,srv_internet,internet,True,allow,False,s5 -> s3 -> s1,2,False,False,2,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f016,u08,admin,srv_db,database,True,allow,False,s9 -> s4 -> s2 -> s8,3,False,False,3,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f017,u03,student,srv_internet,internet,True,allow,False,s7 -> s4 -> s2 -> s1,3,False,False,3,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f018,u11,blocked,srv_admin,admin,False,deny,False,,0,False,False,0,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f019,u09,admin,srv_db,database,True,allow,False,s9 -> s4 -> s2 -> s8,3,False,False,3,статична таблиця ACL і наперед заданий маршрут
normal_access,static_acl,normal_access_f020,u08,admin,srv_file,file,True,allow,False,s9 -> s4 -> s2 -> s8,3,False,False,3,статична таблиця ACL і наперед заданий маршрут
