scenario,algorithm,total_flows,allowed_flows,denied_flows,unreachable_flows,policy_denials,policy_violations,rerouted_flows,avg_path_length,generated_rules,compliance_percent,availability_percent,recovery_success_percent,efficiency_index
normal_access,static_acl,90,69,21,0,21,6,0,2.52,174,93.33,100.0,100.0,93.74
normal_access,sdn_shortest_path,90,90,0,0,0,27,0,2.51,226,70.0,100.0,100.0,83.63
normal_access,sdn_policy,90,63,27,0,27,0,0,2.56,161,100.0,100.0,100.0,96.58
normal_access,sdn_resilient_policy,90,63,27,0,27,0,0,2.56,161,100.0,100.0,100.0,96.58
unauthorized_attempts,static_acl,90,61,29,0,29,9,0,2.59,158,90.0,100.0,100.0,92.37
unauthorized_attempts,sdn_shortest_path,90,90,0,0,0,38,0,2.56,230,57.78,100.0,100.0,78.43
unauthorized_attempts,sdn_policy,90,52,38,0,38,0,0,2.62,136,100.0,100.0,100.0,96.67
unauthorized_attempts,sdn_resilient_policy,90,52,38,0,38,0,0,2.62,136,100.0,100.0,100.0,96.67
link_failure,static_acl,90,46,14,30,14,3,0,2.76,127,96.67,60.53,0.0,66.93
link_failure,sdn_shortest_path,90,90,0,0,0,17,90,3.04,274,81.11,100.0,100.0,87.5
link_failure,sdn_policy,90,44,17,29,17,0,0,2.8,123,100.0,60.27,0.0,68.24
link_failure,sdn_resilient_policy,90,73,17,0,17,0,29,3.14,229,100.0,100.0,100.0,95.61
role_change,static_acl,90,62,28,0,28,5,0,2.6,161,94.44,100.0,100.0,94.2
role_change,sdn_shortest_path,90,90,0,0,0,33,0,2.54,229,63.33,100.0,100.0,80.79
role_change,sdn_policy,90,57,33,0,33,0,0,2.61,149,100.0,100.0,100.0,96.6
role_change,sdn_resilient_policy,90,57,33,0,33,0,0,2.61,149,100.0,100.0,100.0,96.6
high_request_load,static_acl,150,106,44,0,44,7,0,2.66,282,95.33,100.0,100.0,94.47
high_request_load,sdn_shortest_path,150,150,0,0,0,51,150,2.63,395,66.0,100.0,100.0,81.77
high_request_load,sdn_policy,150,99,51,0,51,0,0,2.68,265,100.0,100.0,100.0,96.47
high_request_load,sdn_resilient_policy,150,99,51,0,51,0,0,2.68,265,100.0,100.0,100.0,96.47
